"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Neg","[M-H]-",11.749,745.50214,"PG 16:1_18:1","PG",35262
"Neg","[M-H]-",11.857,721.50232,"PG 16:0_16:0","PG",33779
"Neg","[M-H]-",11.95,721.50189,"PG 16:0_16:0","PG",33778
"Neg","[M-H]-",11.959,747.51788,"PG 16:0_18:1","PG",35391
"Neg","[M-H]-",11.973,823.54956,"PG 18:1_22:4","PG",40019
"Neg","[M-H]-",12.067,773.5332,"PG 18:1_18:1","PG",36978
"Neg","[M-H]-",12.196,747.52039,"PG 16:0_18:1","PG",35392
"Neg","[M-H]-",12.217,773.5332,"PG 18:1_18:1","PG",36979
"Neg","[M-H]-",12.649,721.50189,"PG 16:0_16:0","PG",33777
"Neg","[M-H]-",12.718,747.5177,"PG 16:0_18:1","PG",35390
"Neg","[M-H]-",12.802,773.53339,"PG 18:1_18:1","PG",36980
"Neg","[M-H]-",13.11,801.56464,"PG 18:1_20:1","PG",38671
"Neg","[M-H]-",13.213,761.53192,"PG 16:0_19:1","PG",36217
"Neg","[M-H]-",13.263,775.54913,"PG 18:0_18:1","PG",37120
"Neg","[M-H]-",13.287,801.56519,"PG 18:1_20:1","PG",38672
"Neg","[M-H]-",13.358,801.56543,"PG 18:1_20:1","PG",38674
"Neg","[M-H]-",13.852,775.54761,"PG 18:0_18:1","PG",37117
"Neg","[M-H]-",14.494,803.58038,"PG 18:0_20:1","PG",38810
"Neg","[M-H]-",10.728,855.50183,"PI 16:0_20:5","PI",41877
"Neg","[M-H]-",10.822,881.51733,"PI 18:1_20:5","PI",43303
"Neg","[M-H]-",11.127,881.51874,"PI 18:1_20:5","PI",43304
"Neg","[M-H]-",11.205,907.53314,"PI 18:1_22:6","PI",44619
"Neg","[M-H]-",11.408,807.50244,"PI 16:0_16:1","PI",39084
"Neg","[M-H]-",11.429,857.5177,"PI 16:0_20:4","PI",41988
"Neg","[M-H]-",11.505,833.51801,"PI 16:1_18:1","PI",40584
"Neg","[M-H]-",11.518,883.53369,"PI 18:1_20:4","PI",43395
"Neg","[M-H]-",11.518,909.54926,"PI 18:1_22:5","PI",44720
"Neg","[M-H]-",11.635,835.53168,"PI 16:0_18:1","PI",40710
"Neg","[M-H]-",11.719,859.53351,"PI 18:1_18:2","PI",42086
"Neg","[M-H]-",11.895,859.53339,"PI 18:1_18:2","PI",42085
"Neg","[M-H]-",11.947,821.51752,"PI 16:0_17:1","PI",39892
"Neg","[M-H]-",11.953,871.53375,"PI 17:0_20:4","PI",42771
